start_day;end_day;header;downfall;yeey
2016-04-01 06:00:01;2016-04-02 06:00:00;2016-04-01;0.0;G
2016-04-02 06:00:01;2016-04-03 06:00:00;2016-04-02;3.0;G
2016-04-03 06:00:01;2016-04-04 06:00:00;2016-04-03;0.5;G
2016-04-04 06:00:01;2016-04-05 06:00:00;2016-04-04;1.9;G
2016-04-05 06:00:01;2016-04-06 06:00:00;2016-04-05;14.4;G
2016-04-06 06:00:01;2016-04-07 06:00:00;2016-04-06;8.2;G
2016-04-07 06:00:01;2016-04-08 06:00:00;2016-04-07;9.1;G
2016-04-08 06:00:01;2016-04-09 06:00:00;2016-04-08;0.6;G
2016-04-09 06:00:01;2016-04-10 06:00:00;2016-04-09;0.0;G
2016-04-10 06:00:01;2016-04-11 06:00:00;2016-04-10;0.0;G
2016-04-11 06:00:01;2016-04-12 06:00:00;2016-04-11;0.0;G
2016-04-12 06:00:01;2016-04-13 06:00:00;2016-04-12;0.0;G
2016-04-13 06:00:01;2016-04-14 06:00:00;2016-04-13;0.0;G
2016-04-14 06:00:01;2016-04-15 06:00:00;2016-04-14;0.0;G
2016-04-15 06:00:01;2016-04-16 06:00:00;2016-04-15;0.7;G
2016-04-16 06:00:01;2016-04-17 06:00:00;2016-04-16;7.8;G
2016-04-17 06:00:01;2016-04-18 06:00:00;2016-04-17;0.0;G
2016-04-18 06:00:01;2016-04-19 06:00:00;2016-04-18;0.3;G
2016-04-19 06:00:01;2016-04-20 06:00:00;2016-04-19;0.5;G
2016-04-20 06:00:01;2016-04-21 06:00:00;2016-04-20;0.0;G
2016-04-21 06:00:01;2016-04-22 06:00:00;2016-04-21;1.3;G
2016-04-22 06:00:01;2016-04-23 06:00:00;2016-04-22;0.0;G
2016-04-23 06:00:01;2016-04-24 06:00:00;2016-04-23;1.1;G
2016-04-24 06:00:01;2016-04-25 06:00:00;2016-04-24;3.7;G
2016-04-25 06:00:01;2016-04-26 06:00:00;2016-04-25;0.0;G
2016-04-26 06:00:01;2016-04-27 06:00:00;2016-04-26;0.0;G
2016-04-27 06:00:01;2016-04-28 06:00:00;2016-04-27;0.0;G
2016-04-28 06:00:01;2016-04-29 06:00:00;2016-04-28;21.8;G
2016-04-29 06:00:01;2016-04-30 06:00:00;2016-04-29;0.0;G
2016-04-30 06:00:01;2016-05-01 06:00:00;2016-04-30;2.8;G
2016-05-01 06:00:01;2016-05-02 06:00:00;2016-05-01;0.0;G
2016-05-02 06:00:01;2016-05-03 06:00:00;2016-05-02;0.0;G
2016-05-03 06:00:01;2016-05-04 06:00:00;2016-05-03;0.0;G
2016-05-04 06:00:01;2016-05-05 06:00:00;2016-05-04;0.0;G
2016-05-05 06:00:01;2016-05-06 06:00:00;2016-05-05;0.0;G
2016-05-06 06:00:01;2016-05-07 06:00:00;2016-05-06;0.0;G
2016-05-07 06:00:01;2016-05-08 06:00:00;2016-05-07;0.0;G
2016-05-08 06:00:01;2016-05-09 06:00:00;2016-05-08;0.0;G
2016-05-09 06:00:01;2016-05-10 06:00:00;2016-05-09;0.0;G
2016-05-10 06:00:01;2016-05-11 06:00:00;2016-05-10;0.0;G
2016-05-11 06:00:01;2016-05-12 06:00:00;2016-05-11;0.0;G
2016-05-12 06:00:01;2016-05-13 06:00:00;2016-05-12;0.0;G
2016-05-13 06:00:01;2016-05-14 06:00:00;2016-05-13;14.4;G
2016-05-14 06:00:01;2016-05-15 06:00:00;2016-05-14;1.0;G
2016-05-15 06:00:01;2016-05-16 06:00:00;2016-05-15;0.0;G
2016-05-16 06:00:01;2016-05-17 06:00:00;2016-05-16;0.7;G
2016-05-17 06:00:01;2016-05-18 06:00:00;2016-05-17;0.0;G
2016-05-18 06:00:01;2016-05-19 06:00:00;2016-05-18;0.0;G
2016-05-19 06:00:01;2016-05-20 06:00:00;2016-05-19;0.4;G
2016-05-20 06:00:01;2016-05-21 06:00:00;2016-05-20;11.3;G
2016-05-21 06:00:01;2016-05-22 06:00:00;2016-05-21;0.2;G
2016-05-22 06:00:01;2016-05-23 06:00:00;2016-05-22;0.1;G
2016-05-23 06:00:01;2016-05-24 06:00:00;2016-05-23;0.0;G
2016-05-24 06:00:01;2016-05-25 06:00:00;2016-05-24;20.8;G
2016-05-25 06:00:01;2016-05-26 06:00:00;2016-05-25;0.6;G
2016-05-26 06:00:01;2016-05-27 06:00:00;2016-05-26;0.1;G
2016-05-27 06:00:01;2016-05-28 06:00:00;2016-05-27;0.1;G
2016-05-28 06:00:01;2016-05-29 06:00:00;2016-05-28;0.6;G
2016-05-29 06:00:01;2016-05-30 06:00:00;2016-05-29;15.4;G
2016-05-30 06:00:01;2016-05-31 06:00:00;2016-05-30;0.0;G
2016-05-31 06:00:01;2016-06-01 06:00:00;2016-05-31;0.0;G
2016-06-01 06:00:01;2016-06-02 06:00:00;2016-06-01;0.0;G
2016-06-02 06:00:01;2016-06-03 06:00:00;2016-06-02;0.0;G
2016-06-03 06:00:01;2016-06-04 06:00:00;2016-06-03;0.0;G
2016-06-04 06:00:01;2016-06-05 06:00:00;2016-06-04;0.0;G
2016-06-05 06:00:01;2016-06-06 06:00:00;2016-06-05;0.0;G
2016-06-06 06:00:01;2016-06-07 06:00:00;2016-06-06;0.0;G
2016-06-07 06:00:01;2016-06-08 06:00:00;2016-06-07;0.0;G
2016-06-08 06:00:01;2016-06-09 06:00:00;2016-06-08;0.0;G
2016-06-09 06:00:01;2016-06-10 06:00:00;2016-06-09;0.0;G
2016-06-10 06:00:01;2016-06-11 06:00:00;2016-06-10;0.0;G
2016-06-11 06:00:01;2016-06-12 06:00:00;2016-06-11;0.9;G
2016-06-12 06:00:01;2016-06-13 06:00:00;2016-06-12;0.0;G
2016-06-13 06:00:01;2016-06-14 06:00:00;2016-06-13;0.0;G
2016-06-14 06:00:01;2016-06-15 06:00:00;2016-06-14;0.0;G
2016-06-15 06:00:01;2016-06-16 06:00:00;2016-06-15;1.4;G
2016-06-16 06:00:01;2016-06-17 06:00:00;2016-06-16;0.0;G
2016-06-17 06:00:01;2016-06-18 06:00:00;2016-06-17;0.2;G
2016-06-18 06:00:01;2016-06-19 06:00:00;2016-06-18;0.0;G
2016-06-19 06:00:01;2016-06-20 06:00:00;2016-06-19;0.4;G
2016-06-20 06:00:01;2016-06-21 06:00:00;2016-06-20;10.2;G
2016-06-21 06:00:01;2016-06-22 06:00:00;2016-06-21;1.0;G
2016-06-22 06:00:01;2016-06-23 06:00:00;2016-06-22;0.7;G
2016-06-23 06:00:01;2016-06-24 06:00:00;2016-06-23;1.5;G
2016-06-24 06:00:01;2016-06-25 06:00:00;2016-06-24;0.0;G
