,year,month,tenants,cats,dogs
0,2012,1,5.0,0,0
1,2012,2,5.0,0,0
2,2012,3,5.0,0,0
3,2012,4,5.0,0,0
4,2012,5,5.0,0,0
5,2012,6,5.0,0,0
6,2012,7,5.0,0,0
7,2012,8,5.0,0,0
8,2012,9,5.0,0,0
9,2012,10,5.0,0,0
10,2012,11,5.0,0,0
11,2012,12,5.0,0,0
12,2013,1,5.0,0,0
13,2013,2,5.0,0,0
14,2013,3,6.0,0,0
15,2013,4,6.0,0,0
16,2013,5,6.0,0,0
17,2013,6,6.0,0,0
18,2013,7,6.0,0,0
19,2013,8,6.0,0,0
20,2013,9,6.0,0,0
21,2013,10,6.0,0,0
22,2013,11,6.0,0,0
23,2013,12,6.0,0,0
24,2014,1,6.0,0,0
25,2014,2,6.0,0,0
26,2014,3,6.0,0,0
27,2014,4,6.0,0,0
28,2014,5,6.0,0,0
29,2014,6,6.0,0,0
30,2014,7,6.0,0,0
31,2014,8,6.0,0,0
32,2014,9,6.0,0,0
33,2014,10,6.0,0,0
34,2014,11,6.0,0,0
35,2014,12,6.0,0,0
36,2015,1,6.0,0,0
37,2015,2,6.5,0,0
38,2015,3,6.5,0,0
39,2015,4,6.5,0,0
40,2015,5,6.5,0,1
41,2015,6,6.5,0,1
42,2015,7,6.5,0,1
43,2015,8,6.5,0,1
44,2015,9,6.5,0,1
45,2015,10,6.5,0,1
46,2015,11,6.5,0,1
47,2015,12,6.5,0,1
48,2016,1,6.5,0,1
49,2016,2,6.5,0,1
50,2016,3,6.5,0,1
51,2016,4,6.5,0,1
52,2016,5,6.5,0,1
53,2016,6,6.5,0,1
54,2016,7,6.3,2,1
55,2016,8,6.3,3,1
56,2016,9,6.3,3,1
57,2016,10,6.3,3,1
58,2016,11,6.3,3,1
59,2016,12,6.3,3,1
60,2017,1,6.3,3,1
61,2017,2,6.3,3,1
62,2017,3,6.3,3,1
63,2017,4,6.3,3,1
64,2017,5,6.3,3,1
65,2017,6,5.3,2,1
66,2017,7,3.5,0,1
67,2017,8,4.8,0,1
68,2017,9,5.8,0,1
69,2017,10,5.8,0,1
70,2017,11,5.8,0,1
71,2017,12,5.8,0,1
