Period;FV Energi
4/1/2016 0:00;0.152
4/2/2016 0:00;0.146
4/3/2016 0:00;0.112
4/4/2016 0:00;0.11
4/5/2016 0:00;0.117
4/6/2016 0:00;0.142
4/7/2016 0:00;0.144
4/8/2016 0:00;0.137
4/9/2016 0:00;0.12
4/10/2016 0:00;0.127
4/11/2016 0:00;0.091
4/12/2016 0:00;0.118
4/13/2016 0:00;0.105
4/14/2016 0:00;0.114
4/15/2016 0:00;0.135
4/16/2016 0:00;0.12
4/17/2016 0:00;0.107
4/18/2016 0:00;0.127
4/19/2016 0:00;0.123
4/20/2016 0:00;0.107
4/21/2016 0:00;0.098
4/22/2016 0:00;0.126
4/23/2016 0:00;0.147
4/24/2016 0:00;0.146
4/25/2016 0:00;0.139
4/26/2016 0:00;0.127
4/27/2016 0:00;0.152
4/28/2016 0:00;0.152
4/29/2016 0:00;0.127
4/30/2016 0:00;0.113
5/1/2016 0:00;0.088
5/2/2016 0:00;0.106
5/3/2016 0:00;0.071
5/4/2016 0:00;0.06
5/5/2016 0:00;0.067
5/6/2016 0:00;0.054
5/7/2016 0:00;0.058
5/8/2016 0:00;0.038
5/9/2016 0:00;0.039
5/10/2016 0:00;0.016
5/11/2016 0:00;0.021
5/12/2016 0:00;0.055
5/13/2016 0:00;0.098
5/14/2016 0:00;0.122
5/15/2016 0:00;0.085
5/16/2016 0:00;0.113
5/17/2016 0:00;0.074
5/18/2016 0:00;0.064
5/19/2016 0:00;0.05
5/20/2016 0:00;0.072
5/21/2016 0:00;0.052
5/22/2016 0:00;0.037
5/23/2016 0:00;0.027
5/24/2016 0:00;0.04
5/25/2016 0:00;0.069
5/26/2016 0:00;0.076
5/27/2016 0:00;0.071
5/28/2016 0:00;0.046
5/29/2016 0:00;0.042
5/30/2016 0:00;0.035
5/31/2016 0:00;0.012
6/1/2016 0:00;0.015
6/2/2016 0:00;0.005
6/3/2016 0:00;0.012
6/4/2016 0:00;0.01
6/5/2016 0:00;0.011
6/6/2016 0:00;0.023
6/7/2016 0:00;0.02
6/8/2016 0:00;0.016
6/9/2016 0:00;0.055
6/10/2016 0:00;0.069
6/11/2016 0:00;0.06
6/12/2016 0:00;0.049
6/13/2016 0:00;0.044
6/14/2016 0:00;0.028
6/15/2016 0:00;0.023
6/16/2016 0:00;0.024
6/17/2016 0:00;0.012
6/18/2016 0:00;0.013
6/19/2016 0:00;0.022
6/20/2016 0:00;0.034
6/21/2016 0:00;0.018
6/22/2016 0:00;0.022
6/23/2016 0:00;0.01
6/24/2016 0:00;0.017
6/25/2016 0:00;0.013
6/26/2016 0:00;0.012
6/27/2016 0:00;0.007
6/28/2016 0:00;0.01
6/29/2016 0:00;0.023
6/30/2016 0:00;0.03
7/1/2016 0:00;0.031
7/2/2016 0:00;0.028
7/3/2016 0:00;0.036
7/4/2016 0:00;0.04
7/5/2016 0:00;0.029
7/6/2016 0:00;0.025
7/7/2016 0:00;0.028
7/8/2016 0:00;0.017
7/9/2016 0:00;0.019
7/10/2016 0:00;0.019
7/11/2016 0:00;0.009
7/12/2016 0:00;0.017
7/13/2016 0:00;0.021
7/14/2016 0:00;0.022
7/15/2016 0:00;0.021
7/16/2016 0:00;0.011
7/17/2016 0:00;0.01
7/18/2016 0:00;0.026
7/19/2016 0:00;0.018
7/20/2016 0:00;0.02
7/21/2016 0:00;0.011
7/22/2016 0:00;0.022
7/23/2016 0:00;0.008
7/24/2016 0:00;0.009
7/25/2016 0:00;0.018
7/26/2016 0:00;0.01
7/27/2016 0:00;0.022
7/28/2016 0:00;0.012
7/29/2016 0:00;0.021
7/30/2016 0:00;0.019
7/31/2016 0:00;0.023
8/1/2016 0:00;0.021
8/2/2016 0:00;0.013
8/3/2016 0:00;0.021
8/4/2016 0:00;0.016
8/5/2016 0:00;0.012
8/6/2016 0:00;0.02
8/7/2016 0:00;0.011
8/8/2016 0:00;0.02
8/9/2016 0:00;0.046
8/10/2016 0:00;0.081
8/11/2016 0:00;0.077
8/12/2016 0:00;0.059
8/13/2016 0:00;0.026
8/14/2016 0:00;0.032
8/15/2016 0:00;0.052
8/16/2016 0:00;0.036
8/17/2016 0:00;0.046
8/18/2016 0:00;0.028
8/19/2016 0:00;0.03
8/20/2016 0:00;0.031
8/21/2016 0:00;0.012
8/22/2016 0:00;0.036
8/23/2016 0:00;0.038
8/24/2016 0:00;0.035
8/25/2016 0:00;0.019
8/26/2016 0:00;0.013
8/27/2016 0:00;0.016
8/28/2016 0:00;0.051
8/29/2016 0:00;0.091
8/30/2016 0:00;0.07
8/31/2016 0:00;0.029
9/1/2016 0:00;0.022
9/2/2016 0:00;0.04
9/3/2016 0:00;0.038
9/4/2016 0:00;0.061
9/5/2016 0:00;0.059
9/6/2016 0:00;0.051
9/7/2016 0:00;0.013
9/8/2016 0:00;0.024
9/9/2016 0:00;0.024
9/10/2016 0:00;0.026
9/11/2016 0:00;0.018
9/12/2016 0:00;0.047
9/13/2016 0:00;0.038
9/14/2016 0:00;0.028
9/15/2016 0:00;0.029
9/16/2016 0:00;0.039
9/17/2016 0:00;0.063
9/18/2016 0:00;0.047
9/19/2016 0:00;0.055
9/20/2016 0:00;0.045
9/21/2016 0:00;0.035
9/22/2016 0:00;0.046
9/23/2016 0:00;0.064
9/24/2016 0:00;0.068
9/25/2016 0:00;0.048
9/26/2016 0:00;0.05
9/27/2016 0:00;0.049
9/28/2016 0:00;0.059
9/29/2016 0:00;0.069
9/30/2016 0:00;0.066
10/1/2016 0:00;0.099
10/2/2016 0:00;0.113
10/3/2016 0:00;0.138
10/4/2016 0:00;0.15
10/5/2016 0:00;0.17
10/6/2016 0:00;0.155
10/7/2016 0:00;0.122
10/8/2016 0:00;0.122
10/9/2016 0:00;0.127
10/10/2016 0:00;0.136
10/11/2016 0:00;0.135
10/12/2016 0:00;0.143
10/13/2016 0:00;0.158
10/14/2016 0:00;0.18
10/15/2016 0:00;0.15
10/16/2016 0:00;0.127
10/17/2016 0:00;0.142
10/18/2016 0:00;0.134
10/19/2016 0:00;0.12
10/20/2016 0:00;0.14
10/21/2016 0:00;0.161
10/22/2016 0:00;0.173
10/23/2016 0:00;0.178
10/24/2016 0:00;0.152
10/25/2016 0:00;0.152
10/26/2016 0:00;0.166
10/27/2016 0:00;0.112
10/28/2016 0:00;0.111
10/29/2016 0:00;0.161
10/30/2016 0:00;0.153
10/31/2016 0:00;0.144
11/1/2016 0:00;0.18
11/2/2016 0:00;0.203
11/3/2016 0:00;0.229
11/4/2016 0:00;0.238
11/5/2016 0:00;0.228
11/6/2016 0:00;0.249
11/7/2016 0:00;0.264
11/8/2016 0:00;0.268
11/9/2016 0:00;0.257
11/10/2016 0:00;0.253
11/11/2016 0:00;0.244
11/12/2016 0:00;0.231
11/13/2016 0:00;0.2
11/14/2016 0:00;0.187
11/15/2016 0:00;0.179
11/16/2016 0:00;0.189
11/17/2016 0:00;0.188
11/18/2016 0:00;0.16
11/19/2016 0:00;0.177
11/20/2016 0:00;0.176
11/21/2016 0:00;0.16
11/22/2016 0:00;0.143
11/23/2016 0:00;0.139
11/24/2016 0:00;0.216
11/25/2016 0:00;0.184
11/26/2016 0:00;0.151
11/27/2016 0:00;0.206
11/28/2016 0:00;0.235
11/29/2016 0:00;0.22
11/30/2016 0:00;0.232
12/1/2016 0:00;0.251
12/2/2016 0:00;0.229
12/3/2016 0:00;0.256
12/4/2016 0:00;0.248
12/5/2016 0:00;0.207
12/6/2016 0:00;0.26
12/7/2016 0:00;0.205
12/8/2016 0:00;0.136
12/9/2016 0:00;0.172
12/10/2016 0:00;0.197
12/11/2016 0:00;0.204
12/12/2016 0:00;0.249
12/13/2016 0:00;0.22
12/14/2016 0:00;0.249
12/15/2016 0:00;0.267
12/16/2016 0:00;0.231
12/17/2016 0:00;0.194
12/18/2016 0:00;0.217
12/19/2016 0:00;0.19
12/20/2016 0:00;0.184
12/21/2016 0:00;0.209
12/22/2016 0:00;0.19
12/23/2016 0:00;0.194
12/24/2016 0:00;0.179
12/25/2016 0:00;0.177
12/26/2016 0:00;0.165
12/27/2016 0:00;0.192
12/28/2016 0:00;0.239
12/29/2016 0:00;0.172
12/30/2016 0:00;0.15
12/31/2016 0:00;0.13
1/1/2017 0:00;0.18
1/2/2017 0:00;0.246
1/3/2017 0:00;0.247
1/4/2017 0:00;0.276
1/5/2017 0:00;0.354
1/6/2017 0:00;0.286
1/7/2017 0:00;0.23
1/8/2017 0:00;0.256
1/9/2017 0:00;0.206
1/10/2017 0:00;0.203
1/11/2017 0:00;0.214
1/12/2017 0:00;0.198
1/13/2017 0:00;0.224
1/14/2017 0:00;0.274
1/15/2017 0:00;0.281
1/16/2017 0:00;0.295
1/17/2017 0:00;0.248
1/18/2017 0:00;0.188
1/19/2017 0:00;0.198
1/20/2017 0:00;0.204
1/21/2017 0:00;0.222
1/22/2017 0:00;0.216
1/23/2017 0:00;0.213
1/24/2017 0:00;0.254
1/25/2017 0:00;0.199
1/26/2017 0:00;0.18
1/27/2017 0:00;0.211
1/28/2017 0:00;0.22
1/29/2017 0:00;0.225
1/30/2017 0:00;0.196
1/31/2017 0:00;0.204
2/1/2017 0:00;0.202
2/2/2017 0:00;0.22
2/3/2017 0:00;0.224
2/4/2017 0:00;0.229
2/5/2017 0:00;0.218
2/6/2017 0:00;0.242
2/7/2017 0:00;0.292
2/8/2017 0:00;0.296
2/9/2017 0:00;0.283
2/10/2017 0:00;0.264
2/11/2017 0:00;0.256
2/12/2017 0:00;0.297
2/13/2017 0:00;0.236
2/14/2017 0:00;0.24
2/15/2017 0:00;0.261
2/16/2017 0:00;0.262
2/17/2017 0:00;0.227
2/18/2017 0:00;0.208
2/19/2017 0:00;0.172
2/20/2017 0:00;0.189
2/21/2017 0:00;0.218
2/22/2017 0:00;0.201
2/23/2017 0:00;0.24
2/24/2017 0:00;0.239
2/25/2017 0:00;0.22
2/26/2017 0:00;0.197
2/27/2017 0:00;0.18
2/28/2017 0:00;0.176
3/1/2017 0:00;0.188
3/2/2017 0:00;0.194
3/3/2017 0:00;0.185
3/4/2017 0:00;0.185
3/5/2017 0:00;0.236
3/6/2017 0:00;0.26
3/7/2017 0:00;0.255
3/8/2017 0:00;0.244
3/9/2017 0:00;0.204
3/10/2017 0:00;0.189
3/11/2017 0:00;0.205
3/12/2017 0:00;0.189
3/13/2017 0:00;0.198
3/14/2017 0:00;0.158
3/15/2017 0:00;0.148
3/16/2017 0:00;0.175
3/17/2017 0:00;0.17
3/18/2017 0:00;0.184
3/19/2017 0:00;0.191
3/20/2017 0:00;0.18
3/21/2017 0:00;0.164
3/22/2017 0:00;0.147
3/23/2017 0:00;0.175
3/24/2017 0:00;0.165
3/25/2017 0:00;0.161
3/26/2017 0:00;0.1
3/27/2017 0:00;0.114
3/28/2017 0:00;0.131
3/29/2017 0:00;0.166
3/30/2017 0:00;0.19
3/31/2017 0:00;0.175
